geo_statname,statname
Andaman and Nicobar,Andaman & Nicobar Islands
Andhra Pradesh,Andhra Pradesh
Arunachal Pradesh,Arunachal Pradesh
Assam,Assam
Bihar,Bihar
Chandigarh,Chandigarh
Chhattisgarh,Chhattisgarh
Dadra and Nagar Haveli,Dadra & Nagar Haveli
Daman and Diu,Daman & Diu
Delhi,Delhi
Goa,Goa
Gujarat,Gujarat
Haryana,Haryana
Himachal Pradesh,Himachal Pradesh
Jammu and Kashmir,Jammu And Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerala,Kerala
Lakshadweep,Lakshadweep
Madhya Pradesh,MADHYA PRADESH
Maharashtra,Maharashtra
Manipur,Manipur
Meghalaya,Meghalaya
Mizoram,Mizoram
Nagaland,Nagaland
Orissa,Odisha
Puducherry,Puducherry
Punjab,Punjab
Rajasthan,Rajasthan
Sikkim,Sikkim
Tamil Nadu,Tamil Nadu
Tripura,Tripura
Uttar Pradesh,Uttar Pradesh
Uttaranchal,Uttarakhand
West Bengal,West Bengal
